community	gene
2	LGALS16
2	ENSG00000291303
2	MYF5
2	BIRC7
2	DCDC2
2	P2RX2
2	L3MBTL4
2	SYNDIG1
2	PHACTR3
2	ENSG00000288644
2	PI3
2	SPRR4
2	SLC47A2
2	DEFB115
2	AUH
2	NID2
2	INTS12
2	IL36B
2	AQP4
2	PCDHB2
2	ERC2
2	PIMREG
2	AFAP1L1
2	HLA-F
2	TIGD4
2	NECAP2
2	UGT2A1
2	SLC17A8
2	HPN
2	RNF149
2	LORICRIN
2	CST8
2	ENSG00000289722
2	ENSG00000286132
2	USP6
2	ZNF844
2	SLC18B1
2	HAS1
2	H3-3B
2	C4orf19
2	PSG9
2	GPR180
2	BST1
2	FGG
2	SNAI3
2	HMGB1P1
2	PATE1
2	CARNS1
2	NKAIN2
2	TMEM198
2	EFCAB11
2	ESR1
2	CTRB2
2	RINL
2	ENSG00000274944
2	WWP2
2	SEMG2
2	GPR182
2	CASP12
2	IRF4
2	ZACN
2	BPIFA3
2	VPS9D1
2	TMEM207
2	MYL6B
2	HRCT1
2	ERBB2
2	CCL1
2	PCDHA4
2	RBMXL3
2	CPSF4L
2	CDH20
2	MUCL1
2	SYN2
2	ZNF654
2	POTEH
2	NHLRC3
2	MAU2
2	MMP21
2	ILF2
2	CORT
2	SMIM34
2	HIRIP3
2	DSG1
2	KRTAP2-4
2	OC90
2	CAST
2	CHODL
2	CFP
2	NUP88
2	GJE1
2	ZNF20
2	ZNF155
2	ENTREP2
2	MROH9
2	BABAM2
2	HBZ
2	CRKL
2	ENSG00000269095
2	BPIFB3
2	ANKRA2
2	BICDL2
2	POLR2D
2	ENSG00000285978
2	GJB2
2	GCM2
2	UPK1A
2	DZANK1
2	H2AC14
2	CSNK2A3
2	HS6ST3
2	DSCC1
2	COX7A1
2	P2RX5-TAX1BP3
2	SH2D2A
2	MGAM2
2	ENSG00000267706
2	KPNA5
2	UROC1
2	MC3R
2	ZNF587
2	EPO
2	NECTIN3
2	NPEPL1
2	PEX11A
2	SLC22A10
2	C7orf57
2	CORO2B
2	C10orf62
2	CCDC89
2	TEX13B
2	PDIA2
2	TCIM
2	AKR7A3
2	FXYD7
2	CBX1
2	TAPBP
2	NLRP5
2	EPHA7
2	SLC6A1
2	GMDS
2	ADAM28
2	PHLDA2
2	POM121
2	TRIM46
2	EHBP1L1
2	CALHM6
2	SMTNL1
2	TENM4
2	ZNF69
2	TTC22
2	INSR
2	SOX3
2	SRARP
2	TBX10
2	FXYD2
2	SALL2
2	TRIM60
2	GDF2
2	NEU1
2	NALF2
2	PLA2G2E
2	ADAMTSL5
2	SHANK1
2	CYP2C19
2	FLOT1
2	SHISAL2B
2	DDB1
2	NSG2
2	C12orf42
2	TTC12
2	DEF6
2	PANK4
2	NPIPA8
2	UTS2R
2	SCGB1D1
2	ELOVL4
2	ENSG00000288570
2	TRIM40
2	RBP7
2	SP2
2	TNFAIP8L2
2	CSRP1
2	LELP1
2	TKFC
2	SPIDR
2	RUFY4
2	VSTM2B
2	CACNG1
2	SNX22
2	H2AC17
2	ACMSD
2	FAM169A
2	SIRT6
2	CMTM8
2	CMTM2
2	VPS18
2	LAMA3
2	P3R3URF-PIK3R3
2	P3R3URF
2	CYP3A7-CYP3A51P
2	RELL1
2	ABHD4
2	PLD6
2	B4GALNT2
2	PROK1
2	TGIF2-RAB5IF
2	ENSG00000285329
2	EDEM2
2	TMCO4
2	C6
2	RSPO1
2	SEMA6D
2	OSGEPL1
2	DNAJC10
2	MFN2
2	RNMT
2	DEFB103A
2	STRIP2
2	CST2
2	ABCC2
2	CPT1B
2	RAMACL
2	CCNJL
2	ENSG00000266728
2	ZFAND6
2	EFCAB8
2	LYPD8
2	C11orf52
2	CYP4F12
2	FDX2
2	ENSG00000167807
2	TMPRSS11D
2	MRS2
2	ACP3
2	CCDC201
2	SPEF2
2	FBP2
2	FAM209B
2	GDF5
2	MSH4
2	CWH43
2	HSPB9
2	A2ML1
2	ENPP1
2	ACSM3
2	MYOM1
2	IVD
2	PPARG
2	GJD4
2	SUDS3
2	NDUFB7
2	HES2
2	CRYGN
2	KRT77
2	SMCO1
2	ZNF234
2	SYCP1
2	ENSG00000290149
2	ADD1
2	HMBS
2	FUT3
2	GBP4
2	LINS1
2	GOLGA6B
2	EVPL
2	FHIT
2	PEMT
2	INPP5K
2	ERICH5
2	P2RY4
2	PPP1R12B
2	MEP1B
2	POU3F3
2	CLDN18
2	IGSF5
2	CPNE8
2	ZNF774
2	MITD1
2	MPP3
2	ADAMTS8
2	DTX4
2	TSPYL6
2	RTP2
2	SPINK7
2	TRIM50
2	ASIC2
2	GPRC5D
2	FGA
2	BMPER
2	MGAM
2	YTHDF1
2	NPVF
2	FREM3
2	NDUFA10
2	PI16
2	SUPV3L1
2	CRP
2	EPS8L2
2	ANKRD45
2	CD74
2	BBS10
2	TREM2
2	GTSF1L
2	GRN
2	IZUMO1R
2	ENSG00000283599
2	PLEKHA7
2	PXDN
2	VAV2
2	RIBC2
2	LRRC1
2	PDCD2L
2	PDE6B
2	SLC35F6
2	TMEM150C
2	CNGA2
2	TOR1B
2	KNSTRN
2	HPX
2	SOHLH1
2	FKBP3
2	SDR9C7
2	RAET1E
2	THOC3
2	LIN7B
2	C1orf109
2	LGR6
2	CELF2
2	HBD
2	LTO1
2	ZNF705B
2	ITIH3
2	PPEF2
2	WRAP73
2	NHSL1
2	RPL39L
2	TMEM82
2	MTIF3
2	TIAL1
2	PAK1IP1
2	PTP4A3
2	SAMD7
2	CDK5RAP1
2	DHX58
2	CYP11B1
2	RBM44
2	PLAC9
2	SHB
2	NOC4L
2	IFI6
2	DES
2	CSMD2
2	FGF19
2	DDX54
2	SCAMP5
2	PPP1R3D
2	SLC25A28
2	AR
2	HLA-DMA
2	CPZ
2	STOX2
2	HGFAC
2	NMB
2	ARHGEF33
2	R3HCC1
2	NOS2
2	ENSG00000268279
2	CTAGE9
2	BAIAP2L1
2	ERICH4
2	HABP2
2	CYP4F8
2	NUTM2B
2	MLANA
2	TRIM56
2	LRRC47
2	NUDCD1
2	MTF2
2	ADAM12
2	ZNF695
2	PPP1R1A
2	KISS1
2	GNRHR
2	NAP1L1
2	NPC1L1
2	CHAF1B
2	AKR1B15
2	CAPN5
2	TCEA2
2	HS3ST4
2	CBY2
2	DFFB
2	CDH9
2	CCDC71
2	ZNF511
2	ENSG00000285589
2	KBTBD13
2	PLN
2	ISLR
2	MINDY4
2	KRT81
2	ZNF566
2	PHYHD1
2	SMIM28
2	MAP7D2
2	EXD2
2	EFNA3
2	TIGD2
2	KRT7
2	CELA3B
2	DYNC2I1
2	KRT84
2	AMBN
2	URAD
2	PDE4DIP
2	UBAC2
2	LMNA
2	CFAP298-TCP10L
2	RAB26
2	TLR1
2	TLR6
2	IFNL3
2	TEF
2	CFHR2
2	DOCK3
2	PROSER2
2	PIGM
2	GDF15
2	CHST9
2	UBE2J1
2	DEFB136
2	ENSG00000288671
2	TRPM2
2	TRIM9
2	DPPA5
2	C16orf90
2	APEH
2	INTS3
2	TGM7
2	RIMBP3B
2	EXOG
2	LILRA5
2	STS
2	C8B
2	SP110
2	SCGB1C1
2	ANKRD7
2	KCNA3
2	C1orf226
2	SUPT5H
2	SLC45A2
2	TMEM40
2	COX15
2	TRRAP
2	RBAK
2	ST3GAL4
2	HGD
2	ADPRH
2	ELOC
2	GRK4
2	SPATA20
2	GRAMD2A
2	RDH12
2	USP25
2	B3GNT4
2	THYN1
2	DLAT
2	CHRDL2
2	RASGRF2
2	MRPL46
2	TMEM121
2	CNNM3
2	TAPBPL
2	POLA2
2	FAM167B
2	KIT
2	SOCS3
2	TSPYL5
2	CDC14A
2	PSG3
2	P4HA2
2	ANGPTL2
2	ACSBG2
2	BCAS3
2	NCBP3
2	PRH2
2	GUCY2C
2	C6orf52
2	MAN2A2
2	ENSG00000288614
2	BLOC1S6
2	C10orf120
2	FOXL3
2	IL3
2	EPHB3
2	CRK
2	HES5
2	KAT5
2	TAOK1
2	ENSG00000288669
2	RIIAD1
2	HK3
2	EWSR1
2	MX2
2	ALDH3A1
2	FLACC1
2	PLGLB2
2	MYOC
2	SLC2A6
2	STK38
2	ISYNA1
2	NFATC2IP
2	DONSON
2	ZER1
2	DEFB131A
2	SLC4A4
2	CPHXL
2	CCK
2	AIFM3
2	MYMK
2	PARD3
2	ECHS1
2	LYPD4
2	KRT85
2	DEFB103B
2	INPP5D
2	TMEM225B
2	SCN2A
2	VIP
2	WDR86
2	KHSRP
2	CES3
2	H1-0
2	LDHAL6B
2	ZFAT
2	KIF5A
2	TMEM184C
2	ZNF273
2	RAB44
2	CHST11
2	CUZD1
2	KDM4F
2	H3C12
2	PRPSAP1
2	IL1R2
2	UST
2	MVP
2	ZNF516
2	GOLGA7B
2	MSMB
2	GALNT13
2	BTBD17
2	MNAT1
2	SNX27
2	TSPAN10
2	FBXO43
2	RETREG3
2	CLCN2
2	RRAD
2	SLC4A3
2	COA5
2	ABCB9
2	LCE3A
3	TRIM6-TRIM34
3	NKIRAS2
3	UGT1A8
3	EIF1AD
3	MEDAG
3	SLC9A6
3	CCDC89
3	SYNE1
3	PLA2G2A
3	PCDHGA10
3	SLC2A5
3	HCN4
3	KAZN
3	HSD11B2
3	ATP4B
3	CD209
3	ACOT2
3	BICDL2
3	RHO
3	NGB
3	MFSD8
3	C3orf56
3	ANKRD22
3	PATE3
3	ZNF66
3	KRT16
3	SLC22A10
3	CST8
3	COL4A6
3	TCIM
3	APOL2
3	RTL8B
3	ZDHHC16
3	GBP6
3	ADAMTSL3
3	KRT6A
3	SCGB1D2
3	ZNF737
3	LRFN2
3	COMMD4
3	TREML4
3	RNF103-CHMP3
3	TMEM210
3	LCE2D
3	S100A9
3	ENSG00000284684
3	CLRN3
3	CST2
3	NDUFS2
3	BRIX1
3	POM121
3	DSPP
3	MYO1E
3	SERPINB13
3	GK5
3	CSNK2B
3	ACKR3
3	PCNX3
3	OR4M2-OT1
3	SHISAL2B
3	TSPAN6
3	PDGFRL
3	TEX13B
3	GJE1
3	FBXW12
3	RAB39B
3	PANK4
3	DEFB131A
3	P2RX5-TAX1BP3
3	S100B
3	PRAP1
3	KRT85
3	MRPS34
3	ENSG00000277611
3	CLDN19
3	METTL7A
3	GALNS
3	ADIG
3	PPL
3	MYLK
3	NTSR2
3	VIP
3	C11orf52
3	OAS1
3	BIRC7
3	TNFSF8
3	CXCR1
3	FAHD2B
3	PSMA8
3	IZUMO1R
3	CYP2C19
3	ENSG00000251537
3	CCM2L
3	GPHA2
3	GNG4
3	HNRNPA1L3
3	PRB3
3	IL4
3	MYH3
3	SYNDIG1
3	TEX26
3	ECRG4
3	C12orf42
3	GREB1L
3	PDHX
3	SPDYE12
3	ZNF34
3	PPP1R17
3	SOX3
3	BSX
3	LRRC31
3	FRMD6
3	SEMA6D
3	DUOXA1
3	KRT74
3	P2RX2
3	NKAIN2
3	C10orf62
3	JRK
3	LCE3E
3	TRIM49C
3	SMIM17
3	PRRT1B
3	ANXA13
3	FLI1
3	SMIM34
3	FMO4
3	TDRD6
3	TNK1
3	PRLHR
3	CHRNG
3	GAGE12J
3	GJB2
3	UBA7
3	SYT12
3	PRCD
3	RP1
3	HSFX1
3	UPK1A
3	FXN
3	ARHGDIG
3	SOX30
3	C15orf62
3	TUBAL3
3	CEACAM19
3	KLHL4
3	GRIK3
3	ENSG00000286190
3	GCM2
3	GOT2
3	ENSG00000290180
3	CPA3
3	CHRNA3
3	PRR15L
3	HGF
3	A2ML1
3	IBSP
3	GPR39
3	CLEC2B
3	RNF224
3	GPR119
3	PGLYRP3
3	AKR7A3
3	NADSYN1
3	AFF3
3	SCEL
3	DISP1
3	RPL22L1
3	MRGPRX3
3	ADAM21
3	SYNJ2BP-COX16
3	COX16
3	SYNJ2BP
3	ZFYVE1
3	PRAMEF5
3	IGSF5
3	MATN3
3	IFI44L
3	CDH9
3	C6orf120
3	METTL24
3	ENSG00000289791
3	NHSL2
3	WNT2
3	SCART1
3	L3MBTL4
3	CNOT2
3	BTLA
3	GUCY2C
3	ACADS
3	P2RY4
3	VGLL2
3	FAXDC2
3	FGF6
3	EFCAB8
3	EFCAB11
3	ENSG00000285991
3	PPARGC1A
3	RBM12B
3	ENSG00000279686
3	RPS6KL1
3	CNR1
3	ZNF700
3	C4orf19
3	SLITRK3
3	ARG1
3	SPZ1
3	BTN3A3
3	SNRNP27
3	GCG
3	EPHA3
3	SLITRK1
3	EDIL3
3	TXLNB
3	PAGE4
3	LDHC
3	GSR
3	BPIFB3
3	TCP11X1
3	RAET1E
3	GNAI1
3	SERPINB12
3	PAGE2B
3	GABBR2
3	SIRPB1
3	FAM135B
3	CLDN2
3	MB21D2
3	POLR2D
3	KCNE5
3	TRIM42
3	ATP6V0A1
3	SAV1
3	TMCC3
3	ETDB
3	ENSG00000258417
3	TSR2
3	MUC3A
3	ZMAT4
3	GOLGA8J
3	LGALS7
3	GPN1
3	TMEM132D
3	CLEC4E
3	H4C9
3	GJA10
3	ENKD1
3	IQCF3
3	DOCK5
3	ABCB5
3	ELP6
3	SCAMP5
3	ARMC12
3	MYH7
3	SCN11A
3	ENSG00000258472
3	CMTM1
3	BTNL8
3	KRBOX1
3	KRT7
3	KLRB1
3	ENSG00000258064
3	C2orf72
3	PDE7B
3	CLPSL1
3	ENSG00000258830
3	RFX4
3	ASB17
3	NEU2
3	ABL1
3	C1orf146
3	CTSV
3	TEKT4
3	LINS1
3	C1QB
3	CACNA2D4
3	MLIP
3	BLOC1S6
3	SPACA1
3	NIPAL2
3	MEP1A
3	KY
3	NPY4R2
3	OTOR
3	PARP15
3	DUOX2
3	ENSG00000173366
3	AR
3	GAST
3	BST2
3	MVB12A
3	TMEM216
3	ZBTB41
3	HMHB1
3	ATP13A5
3	SPATA19
3	FAM169A
3	MX2
3	HLA-DQB2
3	MMP28
3	MUC16
3	HAL
3	B9D2
3	SIGLEC16
3	SLF1
3	GJB5
3	C6orf89
3	KRT5
3	UBE2QL1
3	GLI1
3	CNGA2
3	CHI3L2
3	NHLRC2
3	CES3
3	CTXND1
3	GPR35
3	FXYD6-FXYD2
3	NMS
3	POLD2
3	GBP4
3	CALHM4
3	DDC
3	ZSCAN31
3	ACSM5
3	CYP2A6
3	SLC6A17
3	TMDD1
3	CUTC
3	NR1I2
3	SLC7A9
3	AMBN
3	LRRC49
3	HPDL
3	MMP12
3	C12orf75
3	RNASE9
3	RPGRIP1
3	SCYGR8
3	DAW1
3	THPO
3	MPP4
3	ANGPT4
3	CCDC182
3	SMYD1
3	FREM1
3	GNMT
3	RNF186
3	P2RY12
3	CGA
3	AVPR1A
3	CARNS1
3	PIGM
3	C17orf67
3	ADRA1B
3	RAB7A
3	GPR88
3	FAM110B
3	ABCC9
3	KCNAB1
3	ZCCHC17
3	CST6
3	RBM44
3	H2BC1
3	NFXL1
3	AQP4
3	SYN3
3	TTC23L
3	TNFAIP8L2
3	PBOV1
3	YY2
3	FXYD2
3	MAU2
3	PAX4
3	CCDC197
3	ATP1B4
3	CA3
3	RFPL4AL1
3	ZBTB7C
3	ADAM7
3	TSLP
3	KRT37
3	STRC
3	PSMD13
3	SORBS3
3	SVOP
3	ST7
3	MTRR
3	MXD3
3	SFTPA2
3	SRARP
3	OPRM1
3	CRMP1
3	NECAP2
3	INSL4
3	TRIM64B
3	NMNAT1
3	NLRP5
3	RP2
3	SALL3
3	CSNK2A3
3	FGF16
3	TRIM5
3	GPR152
3	CENPT
3	PEX11A
3	TAAR9
3	MRI1
3	PCDHB8
3	ZNF681
3	CYP51A1
3	FCN2
3	GALNT11
3	HMGA2
3	SUPT20HL1
3	PCARE
3	SPINK7
3	COL19A1
3	PCDH9
3	ENSG00000267059
3	TOGARAM2
3	ANOS1
3	HBZ
3	PRAMEF8
3	NPY4R
3	EME1
3	TOP2A
3	STMN2
3	TMCO5A
3	TCF19
3	CHDH
3	WDR91
3	MLANA
3	MMP25
3	FCF1
3	CCDC166
3	MYRFL
3	SPINK13
3	CRACDL
3	NOXRED1
3	IFT52
3	C2orf88
3	ENSG00000285330
3	KRT20
3	RBM24
3	MS4A7
3	ENSG00000251357
3	SMYD4
3	FAM186A
3	ILDR1
3	INSC
3	PSD3
3	CRH
3	AP4S1
3	PCSK1
3	ARL14EPL
3	DNAI1
3	GOLGA8O
3	SH3BP4
3	MARK1
3	IP6K2
3	FCRL3
3	FTO
3	NRIP2
3	PCED1A
3	PXDNL
3	SLC16A11
3	CCL3
3	JCHAIN
3	MSLN
3	PLRG1
3	LMTK2
3	LIPK
3	TEX46
3	KRT28
3	GPR151
3	LYG2
3	APCS
3	ENSG00000289710
3	NPVF
3	SNRPE
3	GPATCH1
3	PRAMEF1
3	CCBE1
3	MTMR7
3	NPAS1
3	CDH11
3	CLP1
3	LYPD8
3	FGF10
3	FSD2
3	SH3PXD2A
3	ASB15
3	LRRC10
3	NRDE2
3	SCN3A
3	PPP2R2C
3	DNASE1L2
3	PPP1R1B
3	NRXN3
3	DPP6
3	PLAAT4
3	HSD3B1
3	PI4KA
3	ENSG00000291314
3	ACE2
3	EPS8L2
3	CAPN3
3	PSG3
3	CHST9
3	ALDH3B2
3	PRDM16
3	RAMP1
3	NCMAP
3	B3GNT7
3	THEM6
3	PCDHGB3
3	SLCO1A2
3	OXT
3	MND1
3	GLYATL1B
3	SLC39A2
3	KBTBD11
3	GOLGA6A
3	ZSWIM2
3	KCNJ5
3	FTHL17
3	ENSG00000288671
3	TIE1
3	ZP1
3	PALS2
3	ACCSL
3	LGR5
3	PRAMEF13
3	SMIM39
3	TRIP12
3	TUFT1
3	CFAP300
3	ITGAD
3	AFF2
3	DUSP2
3	OVOL2
3	HGFAC
3	OLFML3
3	ZNF707
3	ADAMTS15
3	F11
3	FAM72A
3	CABP2
3	AP2A2
3	CRNN
3	C1QBP
3	GAGE10
3	GSTM3
3	TSPAN10
3	TMEM128
3	PCDHB13
3	GJB3
3	PATE4
3	FAM240C
3	APOL1
3	PKD1L2
3	KHK
3	AQP12A
3	HMBS
3	CCL1
3	RFESD
3	TREM2
3	LRRTM2
3	FANCM
3	C16orf89
3	EIF4G1
3	CD79A
3	PRR23C
3	PXDN
3	DENND10
3	MMP10
3	PLPP5
3	RAB25
3	EPB42
3	GNG5B
3	NAA11
3	GZMH
3	FAT3
3	HHIPL1
3	CCR9
3	ERC2
3	PAK6
3	TRPM8
3	PHLDA1
3	VPS9D1
3	ENSG00000243696
3	SPTA1
3	KRTAP13-1
3	HADH
3	LEFTY1
