TF	community
Nr1H2	52
Rhox11	52
Nr1h3	52
Nr1h3::Rxra	52
RORB	52
ZNF417	24
OSR2	3
OVOL2	35
SMAD3	35
Olig2	53
Twist2	53
PAX2	54
PAX6	54
TGIF2LX	12
RREB1	27
PLAG1	23
ZNF320	23
POU5F1B	27
POU3F3	27
POU3F1	27
POU3F2	55
Pou5f1::Sox2	55
PRDM1	39
ZNF574	39
ZNF768	39
Prdm14	39
PROX1	4
ZBTB17	25
Pgr	7
Sox7	7
Sox17	7
Zfx	23
Prdm15	2
SIX1	2
SIX2	2
ZIM3	40
Prdm5	23
RARB	13
THRA	16
REL	3
RFX4	3
REST	47
TBX21	47
RFX1	16
RFX3	16
RFX2	16
RFX5	16
Rfx6	3
RORC	52
ZNF140	3
ZKSCAN1	52
SNAI1	2
Six4	2
SMAD2	27
SMAD5	35
ZKSCAN3	35
SOX10	7
Sox11	7
Sox5	7
SOX2	7
Sox3	7
SOX14	7
SOX9	7
SOX21	7
ZBED4	31
SPIB	56
Spi1	56
Six3	43
TFAP4::FLI1	40
Stat5a	14
ZNF136	14
Stat5b	14
TBR1	47
TBX4	47
TBX20	47
TBX18	18
TEAD1	19
TEAD4	19
TEAD2	19
TFAP4	40
Tfcp2l1	37
TGIF1	12
TGIF2	12
THAP1	3
ZSCAN31	3
TP73	22
Tcf12	3
Wt1	23
YY2	24
ZFP57	24
ZFP42	8
ZBTB32	52
ZBTB6	3
ZNF667	3
ZNF189	3
ZNF135	35
ZNF16	23
ZNF341	3
ZNF282	20
ZNF75D	20
ZNF384	35
ZNF416	3
ZNF449	3
ZNF682	3
ZNF454	24
ZNF558	45
ZNF677	45
ZNF582	3
ZNF669	24
ZNF684	23
ZNF692	23
ZNF707	3
Zic1::Zic2	3
